geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
SH,202143,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78,55,0,1,100,83107,4.81,93.85,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,3,3.61,300,0
SO,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,285,244,0,NA,NA,277462,0,102.72,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,-1,-0.36,-100,NA
SZ,202143,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,228,186,0,1,100,162157,0.62,140.6,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,1,0.62,NA,NA
TG,202143,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,461,354,0,1,100,282909,0.71,162.95,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,0,0
TI,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,892,808,0,NA,NA,350986,0,254.14,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,NA,NA
UR,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,37,0,NA,NA,36819,0,146.66,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,-1,-2.72,-100,NA
VD,202143,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1035,872,0,1,100,814762,0.25,127.03,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,2,0.25,NA,NA
VS,202143,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,679,582,0,1,100,348503,0.29,194.83,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,1,0.29,NA,NA
ZG,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105,81,0,NA,NA,128794,0,81.53,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,-1,-0.78,-100,NA
ZH,202143,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1471,1126,0,1,100,1553423,0.26,94.69,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,0,0
CH01,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2156,0,NA,NA,1669608,0,0,COVID19Death,,2021-11-03_07-53-32,isoweek,2020-09,NA,NA,NA,NA
