date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202106,80+,unknown,42,189,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,Unbekannt,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,0 - 9,fully_vaccinated,0,0,17,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,0 - 9,partially_vaccinated,0,0,14,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,0 - 9,not_vaccinated,0,0,880556,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,0 - 9,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,10 - 19,fully_vaccinated,0,0,625,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,10 - 19,partially_vaccinated,0,0,1299,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,10 - 19,not_vaccinated,0,0,851451,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,10 - 19,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,20 - 29,fully_vaccinated,0,0,5109,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202107,20 - 29,partially_vaccinated,0,0,8803,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
